Product_Name,Brand,Rating,Ratings_Count,Ingredients,Category,product_id
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,"1,2-Hexanediol",Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,C10-18 Triglycerides,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,C12-20 Alkyl Glucoside,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,C14-22 Alcohols,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Dicaprylyl Ether,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Quercus Robur Bark Extract,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Rosmarinus Officinalis,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Cetearyl Glucoside,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Cetearyl Alcohol,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Vaccinium Vitis-Idaea Seed Oil,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Camellia Oleifera Seed Oil,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Water,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Caprylic/Capric Triglyceride,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Caprylyl Glycol,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Glycerin,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Tropolone,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Palmitoyl Glycine,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Polyamide-5,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Helianthus Annuus,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Tocopherol,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Citric Acid,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Camellia Sinensis Leaf Extract,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Dimethicone,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Sodium Benzoate,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Sodium Polyacrylate,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Sorbic Acid,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Zinc Carbonate,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Potassium Sorbate,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Methylisothiazolinone,Moisturizers,8737
Sublime Anti-Wrinkle Care,Corine de Farme,0.0,0,Fragrance,Moisturizers,8737
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Glyceryl Acrylate/Acrylic Acid Copolymer,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Niacinamide,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Disodium EDTA,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Dipotassium Glycyrrhizate,"Serums, Essence & Ampoules",6975
3 Seconds Starter Vita C Complex,HOLIKA HOLIKA,1.0,1,Dipropylene Glycol,"Serums, Essence & Ampoules",6975
