sku,ingredient
TIMY-LCB-38,Olea Europaea (Olive) Fruit Oil
TIMY-LCB-38,Vitis Vinifera (Grape) Seed Oil
TIMY-LCB-38,Cetyl Ethylhexanoate
TIMY-LCB-38,PEG-20 Glyceryl Trii-sostearate
TIMY-LCB-38,PEG-8 Isostearate
TIMY-LCB-38,Cera Microcristallina (Microcrystalline Wax/Cire Microcristalline)
TIMY-LCB-38,Hippophae Rhamnoides Oil
TIMY-LCB-38,Ceresin
TIMY-LCB-38,Synthetic Wax
TIMY-LCB-38,Orbiignya Oleifera Seed Oil
TIMY-LCB-38,Diospyros Kaki Fruit Extract
TIMY-LCB-38,Aniba Rosaeodora (Rosewood) Wood Oil
TIMY-LCB-38,Citrus Paradisi (Grapefruit) Peel Oil
TIMY-LCB-38,Rosemarinus Officinalis (Rosemary) Leaf Oil
TIMY-LCB-38,Tocopheryl Acetate
TIMY-LCB-38,"1,2-Hexanediol"
TIMY-LCB-38,Bis-Diglyceryl Polyacyladipate-2
TIMY-LCB-38,Ethylene/Propylene Copolymer
BC-CIZCBPC-22,Ethylhexyl Palmitate
BC-CIZCBPC-22,Cetyl Ethylhexanoate
BC-CIZCBPC-22,PEG-20 Glyceryl Triisostearate
BC-CIZCBPC-22,PEG-10 Isostearate
BC-CIZCBPC-22,Synthetic Wax
BC-CIZCBPC-22,Simmondsia Chinensis (Jojoba) Seed Oil
BC-CIZCBPC-22,"1,2-Hexanediol"
BC-CIZCBPC-22,C12-13 Alkyl Lactate
BC-CIZCBPC-22,Butylene Glycol
BC-CIZCBPC-22,Water
BC-CIZCBPC-22,Salicylic Acid
BC-CIZCBPC-22,Capryloyl Salicylic Acid
BC-CIZCBPC-22,Melaleuca Alternifolia (Tea Tree) Extract
BC-CIZCBPC-22,Melaleuca Alternifolia (Tea Tree) Leaf Oil
BC-CIZCBPC-22,Melia Azadirachta Leaf Extract
BC-CIZCBPC-22,Melia Azadirachta Flower Extract
BC-CIZCBPC-22,Malpighia Glabra (Acerola) Fruit Extract
BC-CIZCBPC-22,Bambusa Vulgaris Leaf/Stem Extract
BC-CIZCBPC-22,Aspalathus Linearis Extract
BC-CIZCBPC-22,Angelica Archangelica Root Extract
BC-CIZCBO-19,Ethylhexyl Palmitate
BC-CIZCBO-19,Cetyl Ethylhexanoate
BC-CIZCBO-19,PEG-20 Glyceryl Triisostearate
BC-CIZCBO-19,PEG-10 Isostearate
BC-CIZCBO-19,Synthetic Wax
BC-CIZCBO-19,Onsen-Sui
BC-CIZCBO-19,Phenoxyethanol
BC-CIZCBO-19,Butylene Glycol
BC-CIZCBO-19,Lithospermum Erythrorhizon Root Extract
BC-CIZCBO-19,Tocopheryl Acetate
BC-CIZCBO-19,Fragrance
BC-CIZCBO-19,Ethylhexylglycerin
BC-CIZCBO-19,Water
BC-CIZCBO-19,"1,2-Hexanediol"
BC-CIZCBO-19,Bambusa Vulgaris Leaf/Stem Extract Aspalathus Linearis Extract
BC-CIZCBO-19,Angelica Archangelica Root Extract
BC-CIZCBO-19,Malpighia Glabra (Acerola) Fruit Extract
BC-CIZCBO-19,Polydiethyleneglycol Adipate/IPDI Copolymer
BC-CIZCBO-19,Acrylates/Ammonium Methacrylate Copolymer
BC-CIZCBO-19,Acrylates/Methoxy PEG-15 Methacrylate Copolymer
BC-CIZCBR-24,Cetyl Ethylhexanoate
BC-CIZCBR-24,PEG-20 Glyceryl Triisostearate
BC-CIZCBR-24,PEG-10 Isostearate
BC-CIZCBR-24,Synthetic Wax
BC-CIZCBR-24,Phenoxyethanol
BC-CIZCBR-24,Butylene Glycol
BC-CIZCBR-24,Fragrance
BC-CIZCBR-24,Vitis Vinifera (Grape) Seed Oil
BC-CIZCBR-24,Olea Europaea (Olive) Fruit Oil
BC-CIZCBR-24,Tocopheryl Acetate
BC-CIZCBR-24,Water
BC-CIZCBR-24,Ethylhexylglycerin
BC-CIZCBR-24,Thuja Orientalis Leaf Extract
BC-CIZCBR-24,Propanediol
BC-CIZCBR-24,Zanthoxylum Piperitum Fruit Extract
BC-CIZCBR-24,Carthamus Tinctorius (Safflower) Flower Extract
BC-CIZCBR-24,Dextrin Gardenia Florida Fruit Extract
BC-CIZCBR-24,Vitis Vinifera (Grape) Root Extract
BC-CIZCBR-24,Vitis Vinifera (Grape) Vine Extract
BC-CIZCBR-24,"1,2-Hexanediol Bambusa Vulgaris Leaf/Stem Extract"
BC-CIZCBR-24,Aspalathus Linearis Extract
BC-CIZCBR-24,Angelica Archangelica Root Extract
BC-CIZCBR-24,Malpighia Glabra (Acerola) Fruit Extract
BC-CIZCBR-24,Resveratrol
BC-CIZCBR-24,Polydiethyleneglycol Adipate/IPDI Copolymer
BC-CIZCBR-24,Acrylates/Ammonium Methacrylate Copolymer
BC-CIZCBR-24,Acrylates/Methoxy PEG-15 Methacrylate Copolymer
ENA-SPCB-23,ETHYLHEXYL PALMITATE
ENA-SPCB-23,CAPRYLIC/CAPRIC TRIGLYCERIDE
ENA-SPCB-23,SORBETH-30 TETRAOLEATE
ENA-SPCB-23,POLYETHYLENE
ENA-SPCB-23,PEG-7 GLYCERYL COCOATE
ENA-SPCB-23,CANNABIS SATIVA SEED OIL
ENA-SPCB-23,GLYCERYL CAPRYLATE
ENA-SPCB-23,ETHYLHEXYLGLYCERIN
ENA-SPCB-23,TOCOPHERYL ACETATE
ENA-SPCB-23,GLYCERYL GLUCOSIDE
ENA-SPCB-23,BUTYLENE GLYCOL
ENA-SPCB-23,LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT
ENA-SPCB-23,WATER
ENA-SPCB-23,GLYCERIN
BC-CIZCBN-24,Ethylhexyl Palmitate
BC-CIZCBN-24,Cetyl Ethylhexanoate
BC-CIZCBN-24,PEG-20 Glyceryl Triisostearate
BC-CIZCBN-24,PEG-10 Isostearate
BC-CIZCBN-24,Synthetic Wax
BC-CIZCBN-24,Carthamus Tinctorius (Safflower) Seed Oil
BC-CIZCBN-24,Panax Ginseng Berry Extract
BC-CIZCBN-24,Oenothera Biennis (Evening Primrose) Oil
BC-CIZCBN-24,Helianthus Annuus (Sunflower) Seed Oil
BC-CIZCBN-24,Squalane Phenoxyethanol
BC-CIZCBN-24,Butylene Glycol
BC-CIZCBN-24,Tocopheryl Acetate
BC-CIZCBN-24,Fragrance
BC-CIZCBN-24,Ethylhexylglycerin
BC-CIZCBN-24,Panax Ginseng Root Extract
BC-CIZCBN-24,Royal Jelly Extract
BC-CIZCBN-24,Water
BC-CIZCBN-24,"1,2-Hexanediol Bambusa Vulgaris Leaf/Stem Extract"
BC-CIZCBN-24,Aspalathus Linearis Extract
BC-CIZCBN-24,Angelica Archangelica Root Extract
BC-CIZCBN-24,Malpighia Glabra (Acerola) Fruit Extract
BC-CIZCBN-24,Zea Mays (Corn) Oil
BC-CIZCBN-24,Beta-Carotene
BC-CIZCBN-24,Polydiethyleneglycol Adipate/IPDI Copolymer
BC-CIZCBN-24,Tocopherol
BC-CIZCBN-24,Acrylates/Ammonium
BC-CIZCBN-24,Methacrylate Copolymer
BC-CIZCBN-24,Acrylates/Methoxy PEG-15 Methacrylate Copolymer
LEA-CCMPCB-25,Ethylhexyl Palmitate
LEA-CCMPCB-25,Ethylhexyl Stearate
LEA-CCMPCB-25,PEG-20 Glyceryl Triisostearate
LEA-CCMPCB-25,Bambusa Arundinacea Stem Powder
LEA-CCMPCB-25,Polyethylene
LEA-CCMPCB-25,C13-15 Alkane
LEA-CCMPCB-25,Lavandula Angustifolia (Lavender) Oil
LEA-CCMPCB-25,Citrus Aurantium Bergamia (Bergamot) Fruit Oil
LEA-CCMPCB-25,Vitis Vinifera (Grape) Seed Oil
LEA-CCMPCB-25,Argania Spinosa Kernel Oil
LEA-CCMPCB-25,Camellia Japonica Seed Oil
LEA-CCMPCB-25,Olea Europaea (Olive) Fruit Oil
LEA-CCMPCB-25,Simmondsia Chinensis (Jojoba) Seed Oil
LEA-CCMPCB-25,Vitis Vinifera (Grape) Seed Extract
LEA-CCMPCB-25,Brassica Oleracea Italica (Broccoli) Extract
LEA-CCMPCB-25,Diospyros Kaki Leaf Extract
LEA-CCMPCB-25,Prunus Armeniaca (Apricot) Fruit Extract
