product_name,brand,price,rating,rating_count,sku,ingredients,category
Real Fresh Green Tea Cleansing Oil,NEOGEN,32.0,4.7,3,NEO-RFGTCO-32,"Caprylic/Capric Triglyceride, Ethylhexyl Palmitate, Sorbeth-30 Tetraoleate, Camellia Sinensis Leaf, Ribes Nigrum (Black Currant) Seed Oil, Vitis Vinifera(Grape) Seed Oil, Camellia Sinensis Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, Brassica Oleracea Italica (Broccoli) Seed Oil, Solanum Lycopersicum(Tomato) Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Olea Europaea (Olive) Fruit Oil, Ethylhexylglycerin,Rosa Damascena Flower Water, Pyrus Communis (Pear) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Jasminum Officinale (Jasmine) Flower Water,Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Water, Butylene Glycol, 1,2-Hexanediol, Camellia Sinensis Leaf Extract, CitrusAurantium Dulcis (Orange) Fruit Extract, Cymbopogon Schoenanthus Extract, Portulaca Oleracea Extract, Lepidium Meyenii Root Extract, Lilium TigrinumExtract, Oryza Sativa (Rice) Bran Extract, Nelumbo Nucifera Flower Extract, Pisum Sativum (Pea) Extract, Hamamelis Virginiana (Witch Hazel) Extract, CitrusJunos Fruit Extract, Jasminum Officinale (Jasmine) Flower Extract, Anthemis Nobilis Flower Extract, Saururus Chinensis Leaf/Root Extract, Arnica MontanaFlower Extract, Glycine Soja (Soybean) Seed Extract, Vitis Vinifera (Grape) Fruit Extract, Broussonetia Kazinoki Bark Extract, Artemisia Absinthium Extract,Melissa Officinalis Leaf Extract",Double-Cleanse
Mugwort Powder Wash,ISNTREE,15.4,0.0,0,ISN-MPW-15,"Zea Mays (Corn) Starch,Sodium Cocoyl Isethionate,Sodium Palmitate,Sodium Lauroyl Glutamate,Diglycerin,Papain,Sea Salt,Artemisia Princeps Leaf Powder,Allantoin,Maltodextrin,Water",Double-Cleanse
Niacinamide Cleansing Gelée 3%,NATURIUM,18.0,0.0,0,NAT-NCG3-18,"Water, Disodium Cocoyl Glutamate, Niacinamide, Glycerin, Disodium Cocoamphodiacetate, Decyl Glucoside, Xanthan Gum, Sodium Hyaluronate, Myrciaria Dubia Fruit Extract, Sodium Ascorbyl Phosphate, Phenoxyethanol, Citric Acid, Ethylhexylglycerin, Potassium Sorbate, Sodium Chloride",Double-Cleanse
Time Revolution Artemisia Pack Foam Cleanser,MISSHA,19.0,5.0,1,MIS-TRAPFC-19,"Water, Kaolin, Sodium Cocoyl Glycinate, Glycerin, Bentonite, Myristic Acid, Potassium Hydroxide, Lauric Acid, Stearic Acid, Dipropylene Glycol, 1,2-Hexanediol, Bambusa Arundinacea Steam Powder, Hydroxyacetophenone, Magnesium Aluminum Silicate, Chromium Oxide Greens, Artemisia Princeps Leaf Powder, Ethylhexylglycerin, Iron Oxides (CI 77492), Iron Oxides (CI 77499), Disodium EDTA, Citrus Nobilis (Mandarin Orange) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Glycol Distearate, Juniperus Virginiana Oil, Butylene Glycol, Citrus Aurantium Dulcis (Orange) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Titanium Dioxide, Glycol Stearate, Artemisia Annua Extract, Quartz, Hydrogenated Lecithin, Centella Asiatic Extract, Ficus Carica (Fig) Fruit Extract, Amaranthus Caudatus Seed Extract, Ulmus Davidiana Root Extract, Ceramide NP",Double-Cleanse
Pure Cleansing Oil,MANYO FACTORY,29.0,0.0,0,MF-PCO-29,"Glycine Soja (Soybean) Oil, Corylus Avellana (Hazel) Seed Oil, Sorbeth-30 Tetraoleate, Vitis Vinifera (Grape) Seed Oil, Olea Europaea (Olive) Fruit Oil, Caprylic/Capric Triglyceride, Squalane, Isoamyl Laurate, Camellia Japonica Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Argania Spinosa Kernel Oil, Orbignya Oleifera Seed Oil, Saponaria Officinalis Leaf Extract, Camellia Sinensis Leaf Extract, Oryza Sativa (Rice) Bran Oil, Rice Ferment Filtrate (Sake), Decyl glucoside, Ginkgo Biloba Leaf Extract, Lavandula Angustifolia (Lavender) Oil, Aloe Barbadensis Leaf Extract, Citrus Aurantium Dulcis (Orange) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Tocopherol
",Double-Cleanse
Gentle Black Fresh Cleansing Oil,KLAIRS,24.0,5.0,10,KLA-GBFCO-24,"Helianthus Annuus(Sunflower) Seed Oil, Caprylic/Capric Triglyceride, PEG-20 Glyceryl Triisostearate, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Ribes Nigrum (Black Currant) Seed Oil",Double-Cleanse
Mindful Bubble Cleanse,Chasin’ Rabbits,23.0,4.3,32,CR-MBC-23,"WATER, COCO-BETAINE, DISODIUM LAURETH SULFOSUCCINATE, SORBITOL, POTASSIUM COCOYL GLYCINATE, GLYCERIN, LAURYL HYDROXYSULTAINE, SODIUM CHLORIDE, DISODIUM COCOAMPHODIACETATE, PROPANEDIOL, PYRUS COMMUNIS (PEAR) FRUIT EXTRACT, CITRIC ACID, CAPRYLYL GLYCOL, BAMBUSA VULGARIS WATER, CHARCOAL POWDER, PANTHENOL, CUCUMIS MELO (MELON) FRUIT EXTRACT, ETHYLHEXYLGLYCERIN, VETIVERIA ZIZANOIDES ROOT OIL, HEDERA HELIX (IVY) LEAF/STEM EXTRACT, BUTYLENE GLYCOL, SODIUM CITRATE, HEXYLENE GLYCOL, LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT, 1,2-HEXANEDIOL, ILLICIUM VERUM (ANISE) FRUIT EXTRACT, BETA-GLUCAN, VACCINIUM MYRTILLUS FRUIT EXTRACT",Double-Cleanse
Cleanse Me Softly Milk Cleanser,SIORIS,28.0,4.4,21,SIO-CMSMC-28,"*Citrus Junos Fruit Water, Macadamia Ternifolia Seed Oil, Water, Lauryl Glucoside, Glycerin, Isoamyl Laurate, Cetearyl Alcohol, Hydrogenated Vegetable Oil, Cetearyl Olivate, Sorbitan Olivate, Polyglyceryl-10 Oleate, Aloe Barbadensis Leaf Extract, Bioflavonoids, Brassica Oleracea Italica (Broccoli) Extract, Propanediol, Allantoin, Tocopherol, Glyceryl Stearate Citrate, Sorbitan Isostearate, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Arginine, p-anisic acid, Citric Acid *ORGANIC FARMING",Double-Cleanse
Fig Cleansing Balm,I'M FROM,30.0,4.5,32,IF-FCB-30,"Cetyl Ethylhexanoate, Polyethylene, Synthetic Wax, Ficus carica (fig) Fruit Extract, Peg-10 Isostearate, Peg-20 Glyceryl Triisostearate, Caprylic/Capric Triglyceride, Fragrance, Sorbitan Sesquioleate, Caprylyl Glycol, Ethylhexylglycerin, Moringa Oleifera Seed Oil, Curcuma longa (turmeric) Root Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf extract, Melia Azadirachta Bark Extract, Corallina Officinalis Extract, Ocimum Sanctum Leaf Extract",Double-Cleanse
Living Cleansing Balm,Then I Met You,38.0,4.8,1510,TIMY-LCB-38,"Olea Europaea (Olive) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, Cetyl Ethylhexanoate, PEG-20 Glyceryl Trii-sostearate, PEG-8 Isostearate, Cera Microcristallina (Microcrystalline Wax/Cire Microcristalline), Hippophae Rhamnoides Oil, Ceresin, Synthetic Wax, Orbiignya Oleifera Seed Oil, Diospyros Kaki Fruit Extract, Aniba Rosaeodora (Rosewood) Wood Oil, Citrus Paradisi (Grapefruit) Peel Oil, Rosemarinus Officinalis (Rosemary) Leaf Oil, Tocopheryl Acetate, 1,2-Hexanediol, Bis-Diglyceryl Polyacyladipate-2, Ethylene/Propylene Copolymer",Double-Cleanse
